소방서별,특수소방차_고가차_55미터,특수소방차_고가차_52미터,특수소방차_고가차_50미터,특수소방차_고가차_46미터,특수소방차_고가차_40미터,특수소방차_고가차_32미터,특수소방차_굴절차_45미터,특수소방차_굴절차_41미터,특수소방차_굴절차_35미터,특수소방차_굴절차_27미터,특수소방차_굴절차_18점5미터,특수소방차_방수탑차_22미터,특수소방차_확학차_내폭,특수소방차_화학차_고성능,특수소방차_화학차_일반,특수소방차_배연차,특수소방차_구조공작차,특수소방차_제독차,특수소방차_화생방차,특수소방차_조명차_조연차,특수소방차_구조버스,특수소방차_펌프차(대형),특수소방차_펌프차(중형),특수소방차_펌프차(소형),특수소방차_물탱크차,특수소방차_구급차(승합형),특수소방차_구급차(화물형),특수소방차_지휘차,특수소방차_재난지원차,특수소방차_홍보차,특수소방차_점검차,특수소방차_순찰차,특수소방차_화재조사차,특수소방차_굴삭기,특수소방차_견인차,특수소방차_미분무가스소방차,특수소방차_기타(이동체험이동정비),행정차_유조차,행정차_승용차,행정차_승합차,행정차_화물차,행정차_교육용차,기타차_이륜차,기타차_트레일러,기타차_헬기,기타차_소방구조정
소방본부,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,3,1,1,,,1,,,,5,1,2,3,1,,,,2,
중부소방서,,1,,,,,,,1,,,,,2,2,,2,,,1,1,,9,3,4,11,,1,1,,2,1,1,,,,1,,1,1,1,,,,,2
남동소방서,,2,,,,,,,,1,,,,1,1,,2,,,1,1,1,2,4,4,8,,1,1,,2,1,1,,,,1,,1,1,1,,,,,
부평소방서,,,,1,,,,,,1,,,,1,1,,2,,,1,1,,5,1,5,9,,1,1,,2,1,1,1,,,1,,1,1,1,,,,,
서부소방서,1,1,,,,,,,1,,,,,1,3,1,2,,,,1,,7,3,8,10,,1,1,1,2,2,1,,,,1,,1,1,1,,,,,2
공단소방서,,1,,1,,,,,1,,,1,,1,1,,2,,,1,1,2,5,,5,7,,1,1,,2,1,1,1,,,2,,1,1,1,,,,,
계양소방서,,1,,,,,,,,1,,,,1,1,1,2,,,1,1,,2,3,3,6,,1,1,,2,1,1,,,,3,,1,1,1,,,,,
미추홀소방서,,,,1,,,,,,,,,,1,2,,2,,,,1,,4,1,4,8,,2,1,,2,1,1,,1,,1,,1,1,1,,,,,
강화소방서,,,,1,,,,,,,,,,1,,,5,,,,2,2,8,4,3,10,,1,1,,2,1,1,,,,1,,1,1,1,,,,,
영종소방서,,,,1,,,,,,1,,,,1,1,,2,,,,1,,6,1,4,8,,1,1,,2,2,1,,,,2,,1,1,1,,,,,
송도소방서,1,1,,,,,,,,,,,,1,,,2,,,1,1,,3,,3,4,,1,1,,1,1,1,,,,2,,1,1,1,,,,,
소방학교,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,2,2,1,,,,,
